Plant ID,Plant Code,Botanical Name,Common Name,Previous Name,Plant Type,Water Needs,Climate Zones,Light Needs,Soil Type,Soil Additional,Maintenance,Abcission,Height Ranges,Spread Ranges,Flower colour,Foliage Colour,Perfume,Aromatic,Edible,Bird Attracting,Bird Attractant,Bore water Tolerance,Frost Tolerance,Greywater Tolerance,Native,Butterfly Attracting,Butterfly Type,Image,Image Location,Image Owner,Herb External Have,Herb Images change to ,Notes,Why photo removed,Why plant removed,Actioned By,Date Actioned,Status
1291,CLUROS,Clusia rosea,Autograph Tree,,Small Tree,1400 to 2000mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam",Well drained,Low,Evergreen,5 to 8m,3 to 5m,Pink,Green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,images/1291_clusia_rosea.jpg,Paul Plant,,,"Scarring on the leaves remains persistent long after damage (or writing, hence the common name 'Autograph tree').",,,,,Active
1292,CLYCAL,Clytostoma callistegioides,Argentine Trumpet Vine,,Climber,600 to 900mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam,Clay",,Medium,Evergreen,2 to 5m,3 to 5m,Purple,Dark green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1293,CNICHA,Cnidoscolus chayamansa 'Pig Chaya',Edible Chaya,,"Perennial,Vegetable",600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical,Dry Subtropical",Sun,"Sand,Loam",Well drained,Medium,Semi-deciduous,2 to 5m,2 to 3m,White,Dark green,Unknown,Unknown,Yes,Unknown,,Unknown,Unknown,No,No,Unknown,Unknown,Yes,images/1293_cnidoscolus_chayamansa_pig_chaya.jpg,Arno King,,,,,,,,Active
1294,CRIMAR,Crithmum maritinum,Rock Sanphire,,"Perennial,Vegetable",600 to 900mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam",Well drained,Low,Evergreen,0.5 to 1m,1 to 2m,Insignificant,Grey-green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,No,No,Unknown,Unknown,No,,,,,,,,,,Active
1295,COBSCA,Cobaea scandens,Cup and Saucer Vine,,Climber,900 to 1400mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,Loam,,Medium,Evergreen,2 to 5m,2 to 3m,Purple,Mid green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1296,COCUVI,Coccoloba uvifera,Sea Grape,,"Fruit,Tree",900 to 1400mm,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam",,Low,Evergreen,5 to 8m,5 to 10m,White,Dark green,Unknown,Unknown,Yes,Yes,Fruit,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1297,COCART,Coccothrinax argentata,Silver Palm,,Palms and Cycads,900 to 1400mm,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam",Well drained,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1299,COCBAR,Coccothrinax barbadensis,Barbados Palm,,Palms and Cycads,900 to 1400mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam",Well drained,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1300,COCMIR,Coccothrinax miragrama,Miraguama Palm,,Palms and Cycads,900 to 1400mm,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam",Well drained,Low,Evergreen,2 to 5m,1 to 2m,Insignificant,Dark green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1301,COCODO,Cochliostema odoratissimum,Cochliostema,,Perennial,2000 to 2500mm,"Humid Tropical,Humid Subtropical",Semi-shade,Loam,High organic matter,Medium,Evergreen,0.5 to 1m,1 to 2m,Lavender,Mid green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,images/1301_cochliostema_odoratissimum.jpg,Paul Plant,,,,,,,,Active
1302,COCVEL,Cochliostema velutinum,Cochliostema,,Perennial,2000 to 2500mm,"Humid Tropical,Humid Subtropical",Semi-shade,Loam,High organic matter,Medium,Evergreen,0.5 to 1m,1 to 2m,Lavender,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1303,COCGIL,Cochlospermum gillivraei,Yellow Kapok,,Small Tree,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical",Sun,"Sand,Loam",Well drained,Low,Semi-deciduous,5 to 8m,3 to 5m,Yellow,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1303_cogil.jpg,Department of Environment and Resource Management,Garry Sankowsky,,,,,,,Active
1304,COCREL,Cochlospermum religiosum,Indian Buttercup Tree,,Small Tree,900 to 1400mm,"Humid Tropical,Dry Tropical,Humid Subtropical",Sun,"Sand,Loam",Well drained,Low,Semi-deciduous,5 to 8m,5 to 10m,Yellow,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,images/1304_cochlospermum_religiosum.jpg,Paul Plant,,,,,,,,Active
1305,COCVIT,Cochlospermum vitifolium,Mexican Buttercup Tree,,Small Tree,900 to 1400mm,"Humid Tropical,Dry Tropical,Humid Subtropical",Sun,"Sand,Loam",Well drained,Low,Semi-deciduous,5 to 8m,3 to 5m,Yellow,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1306,COCNUC,Cocos nucifera,Coconut Palm,,Palms and Cycads,900 to 1400mm,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam",Well drained,Low,Evergreen,8 to 15m,3 to 5m,Insignificant,Mid green,Unknown,Unknown,Yes,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1306_cocos_nucifera.jpg,Paul Plant,,,,,,,,Active
1307,COCMAL,Cocos nucifera 'Malayan Dwarf',Malaysian Coconut Palm,,Palms and Cycads,900 to 1400mm,"Humid Tropical,Humid Subtropical",Sun,"Sand,Loam",Well drained,Low,Evergreen,5 to 8m,3 to 5m,Insignificant,Mid green,Unknown,Unknown,Yes,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1308,COCCRI,Coccothrinax crinita,Old Man Palm,,Palms and Cycads,900 to 1400mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1309,CODVAR,Codiaeum variegatum,Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,Yellow and red,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1309_codiaeum_variegatum.jpg,Department of Environment and Resource Management,Sheldon Navie,,,,,,,Active
1310,CODGOL,Codiaeum variegatum 'Golden Shower',Golden Shower Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,Yellow and green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,No,,,,,,,,,,Active
1311,CODNOR,Codiaeum variegatum 'Norma',Norma Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,"Yellow, red and green",Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1311_codiaeum_variegatum_norma.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
1312,CODAUC,Codiaeum variegatum 'Aucubifolium',Gold Spot Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,Yellow and green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,No,,,,,,,,,,Active
1313,CODCAP,Codiaeum variegatum 'Captain Kidd',Red Spot Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,Red and green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1313_codiaeum_variegatum_captain_kidd.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
1314,CODCAR,Codiaeum variegatum 'Carnival Jack',Carnival Jack Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,Yellow and red,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1314_codiaeum_variegatum_carnival_jack.jpg,Department of Environment and Resource Management,DERM,,,,,,,Active
1315,CODCON,Codiaeum variegatum 'Congo',Congo Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,Yellow and red,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1315_codiaeum_variegatum_congo.jpg,Nursery and Garden Industry Queensland,,,PBR,,,,,Active
1316,CODEUR,Codiaeum variegatum 'Eura',Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,Yellow and red,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1316_codiaeum_variegatum_eura.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
1317,CODEXC,Codiaeum variegatum 'Excellent',Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,Yellow and red,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1317_codiaeum_variegtaum_excellent.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
1318,CODGOD,Codiaeum variegatum 'Gold Dust',Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,Yellow and green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1318_codiaeum_variegatum_gold_dust.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
1319,CODMAM,Codiaeum variegatum 'Mammy',Mammy Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,"Red, yellow and green",Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1319_codiaeum_variegatum_mammy.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
1320,CODPET,Codiaeum variegatum 'Petra',Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,"Red, yellow and green",Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1320_codiaeum_variegatum_petra.jpg,Department of Environment and Resource Management,DERM,,,,,,,Active
1321,CODRIN,Codiaeum variegatum 'Rina',Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,"Yellow, red and green",Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1321_codiaeum_variegatum_rina.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
1322,CODSUN,Codiaeum variegatum 'Sunny Star',Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,Yellow and green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,No,,,,,,,,,,Active
1323,CODZAN,Codiaeum variegatum 'Zanzibar',Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,1 to 2m,1 to 2m,Insignificant,Red and green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1323_codiaeum_variegatum_zanzibar.jpg,Department of Environment and Resource Management,DERM,,,,,,,Active
1324,CODMRS,Codieaum variegatum 'Mrs Iceton',Autumn-leaf Croton,,Shrub,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical","Sun,Semi-shade","Sand,Loam,Clay",Well drained,Low,Evergreen,2 to 5m,2 to 3m,Insignificant,"Yellow, red and green",Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,images/1324_codiaeum_variegatum_mrs_iceton.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
1325,COFARA,Coffea arabica,Coffee Tree,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Well drained,Low,Evergreen,2 to 5m,2 to 3m,White,Dark green,Yes,Unknown,Yes,Yes,Fruit,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,images/1325_coffea_arabica.jpg,Department of Environment and Resource Management,Sheldon Navie,,This plant is considered a weed in some parts of Queensland. Check with your local Council before planting. ,,,,,Active
1326,COFCAN,Coffea canephora,Robusta Coffee Tree,,Shrub,600 to 900mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Well drained,Low,Evergreen,2 to 5m,2 to 3m,White,Dark green,Yes,Unknown,Yes,Yes,Fruit,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1327,COILAC,Coix lacryma-jobi,Job's Tears,,"Herb,Perennial",900 to 1400mm,"Humid Tropical,Dry Tropical,Humid Subtropical,Dry Subtropical",Sun,Loam,,High,Evergreen,2 to 5m,1 to 2m,Insignificant,Grey-green,Unknown,Unknown,No,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,images/1327_coix_lacryma_jobi.jpg,Arno King,,,,,,,,Active
1328,COLPUL,Coleonema pulchrum,Pink Diosma,,Shrub,900 to 1400mm,"Dry Subtropical,Temperate",Sun,"Sand,Loam",Well drained,Low,Evergreen,1 to 2m,1 to 2m,Pink,Mid green,Yes,Unknown,Unknown,Unknown,,Unknown,Medium,No,No,Unknown,Unknown,Yes,images/1328_coleonema_pulchrum.jpg,Nursery and Garden Industry Queensland,,,,,,,,Active
1329,COLSUN,Coleonema pulchrum 'Sunset Gold',Golden Pink Diosma,,Shrub,900 to 1400mm,"Dry Subtropical,Temperate",Sun,"Sand,Loam",Well drained,Low,Evergreen,0.5 to 1m,1 to 2m,Pink,Yellow and green,Yes,Unknown,Unknown,Unknown,,Unknown,Medium,No,No,Unknown,Unknown,No,,,,,,,,,,Active
1330,COLGOB,Coleostephus myconis 'Goblin',Goblin,Chrysanthemum 'Goblin',"Herb,Perennial",1400 to 2000mm,"Dry Subtropical,Temperate",Sun,Loam,,High,Evergreen,Under 0.5m,Under 0.5m,Yellow,Mid green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1331,COLLOW,Plectranthus scuttlarioides 'Low Black' ,Low Black Coleus,Coleus bicolor 'Low Black',Perennial,1400 to 2000mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,High,Evergreen,1 to 2m,1 to 2m,Lavender,"Green, red and purple",Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,No,,,,,,,,,,Active
1332,COLRED,Plectranthus scuttlarioides 'Red',Red Coleus,Coleus bicolor 'Red',Perennial,1400 to 2000mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,High,Evergreen,1 to 2m,1 to 2m,Lavender,Red,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,No,,,,,,,,,,Active
1333,COLBIC,Plectranthus scuttlarioides 'Cultivars',Coleus,Coleus bicolor 'Cultivars',Perennial,1400 to 2000mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,High,Evergreen,1 to 2m,1 to 2m,Lavender,"Red, yellow and green",Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,No,,,,,,,,,,Active
1334,COLFRI,Plectranthus scuttlarioides 'Frilled Leaf',Frilled Leaf Coleus,Coleus bicolor 'Frilled Leaf',Perennial,1400 to 2000mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,High,Evergreen,1 to 2m,1 to 2m,Lavender,"Red, yellow and green",Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,No,,,,,,,,,,Active
1335,COLREH,Plectranthus scuttlarioides 'Creeping',Creeping Coleus,Coleus rehnaltianus,Perennial,1400 to 2000mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,,High,Evergreen,0.5 to 1m,1 to 2m,Lavender,"Red, yellow and green",Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,No,,,,,,,,,,Active
1336,COLPAR,Colletia paradoxa,Anchor Plant,,Shrub,300 to 600mm,"Humid Subtropical,Dry Subtropical,Temperate",Sun,"Sand,Loam",Well drained,Low,Evergreen,2 to 5m,1 to 2m,White,Grey-green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,images/1336_colletia_paradoxa.jpg,Arno King,,,,,,,,Active
1337,COLAFF,Colocasia affinis,Dwarf Taro,,Perennial,2000 to 2500mm,"Humid Tropical,Humid Subtropical",Semi-shade,Loam,Tolerant of poor drainage,Medium,Evergreen,0.5 to 1m,1 to 2m,Insignificant,Mid green and dark green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,No,,,,,Harmful if eaten raw,,,,,Active
1338,COLNGB,Colocasia 'New Guinea Black',Black Taro,,Perennial,2000 to 2500mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Tolerant of poor drainage,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Dark green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,No,,,,,Harmful if eaten raw,,,,,Active
1339,COLESC,Colocasia esculenta,Taro Plant,,Perennial,2000 to 2500mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Tolerant of poor drainage,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Grey-green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,images/1339_colocasia_esculenta.jpg,Arno King,,,Harmful if eaten raw. This plant is considered a weed in some parts of Queensland. Check with your local Council before planting.,,,,,Active
1340,COLBLA,Colocasia esculenta 'Black Magic',Black Taro,,Perennial,2000 to 2500mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Tolerant of poor drainage,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Purple and green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,Yes,images/1340_colocasia_esculenta_black_magic.jpg,Nursery and Garden Industry Queensland,,,Harmful if eaten raw,,,,,Active
1341,COLEDI,Colocasia esculenta 'Edible Cultivars',Taro Plant,,"Perennial,Vegetable",2000 to 2500mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Tolerant of poor drainage,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Grey-green,Yes,Unknown,No,Unknown,,Unknown,Unknown,No,No,Unknown,Unknown,Yes,images/1341_colocasia_esculenta_edible_cvs.jpg,Arno King,,,Harmful if eaten raw,,,,,Active
1342,COLFAL,Colocasia esculenta 'Fallax',Dwarf Striped Taro,,Perennial,2000 to 2500mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Tolerant of poor drainage,Medium,Evergreen,0.5 to 1m,1 to 2m,Insignificant,Grey-green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,Yes,images/1342_colocasia_esculenta_fallax.jpg,Arno King,,,Harmful if eaten raw,,,,,Active
1343,COLFON,Colocasia esculenta 'Fontanesii',Red Stemmed Taro,,Perennial,2000 to 2500mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Tolerant of poor drainage,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Mid green and dark green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,No,,,,,Harmful if eaten raw,,,,,Active
1344,COLNAN,Colocasia esculenta 'Nancy's Revenge',Gold Stripe Taro,,Perennial,2000 to 2500mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Tolerant of poor drainage,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Mid green and yellow,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,Yes,images/1344_colocasia_esculenta_gold_stripe.jpg,Arno King,,,Harmful if eaten raw,,,,,Active
1345,COLIMP,Colocasia esculenta 'Imperialis',Imperial Taro,,Perennial,2000 to 2500mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Tolerant of poor drainage,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Mid green and dark green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,No,,,,,Harmful if eaten raw,,,,,Active
1346,COLILL,Colocasia esculenta 'Illustrus',Illustrus Taro,,Perennial,2000 to 2500mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Tolerant of poor drainage,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Mid green and dark green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,No,,,,,Harmful if eaten raw,,,,,Active
1347,COLPIN,Colocasia esculenta 'Pink Stem',Pink Stem Taro,,Perennial,2000 to 2500mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Tolerant of poor drainage,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Grey-green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,No,,,,,Harmful if eaten raw,,,,,Active
1348,COLGIG,Colocasia gigantea,Giant Taro,,Perennial,1400 to 2000mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Tolerant of poor drainage,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Grey-green,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Yes,No,Unknown,Unknown,Yes,images/1348_colocasia_gigantea.jpg,Arno King,,,Harmful if eaten raw,,,,,Active
1349,COLLEA,Colocasia gigantea 'Bac Ha',"Bac Ha, Edible Leaf Taro",,"Perennial,Vegetable",1400 to 2000mm,"Humid Tropical,Humid Subtropical","Sun,Semi-shade",Loam,Tolerant of poor drainage,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Grey-green,Yes,Unknown,No,Unknown,,Unknown,Unknown,No,No,Unknown,Unknown,Yes,images/1349_colocasia_gigantea_bac_ha.jpg,Arno King,,,Harmful if eaten raw,,,,,Active
1350,COLHIL,Colocasia 'Hilo Beauty',Hilo Beauty,,Perennial,1400 to 2000mm,"Humid Tropical,Humid Subtropical",Semi-shade,Loam,,Medium,Evergreen,1 to 2m,1 to 2m,Insignificant,Mid green and yellow,Yes,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
1351,COLGLO,Columnea gloriosa,Goldfish Plant,,Perennial,1400 to 2000mm,"Humid Tropical,Humid Subtropical",Semi-shade,Loam,,High,Evergreen,Under 0.5m,0.5 to 1m,Red,Dark green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,No,No,Unknown,Unknown,No,,,,,,,,,,Active
1352,COLSTA,Columnea 'Stavanger',Goldfish Plant,,Perennial,1400 to 2000mm,"Humid Tropical,Humid Subtropical",Semi-shade,Loam,,High,Evergreen,Under 0.5m,0.5 to 1m,Red,Dark green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,No,No,Unknown,Unknown,No,,,,,,,,,,Active
1353,COLBAN,Columnea x banksii 'Variegata',Goldfish Plant,,Perennial,1400 to 2000mm,"Humid Tropical,Humid Subtropical",Semi-shade,Loam,,High,Evergreen,Under 0.5m,0.5 to 1m,Red,Dark green,Unknown,Unknown,Unknown,Unknown,,Unknown,Unknown,No,No,Unknown,Unknown,No,,,,,,,,,,Active
1354,COLRAC,Colvillea racemosa,Colville's Glory Tree,,Medium Tree,600 to 900mm,"Humid Tropical,Dry Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",Well drained,Low,Semi-deciduous,8 to 15m,3 to 5m,Orange,Light green,Unknown,Unknown,Unknown,Yes,Nectar,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,images/1354_colvillea_racemosa.jpg,Paul Plant,,,,,,,,Active
1355,COMCOC,Combretum coccineum,Scarlet Comb,,Climber,900 to 1400mm,"Humid Tropical,Dry Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",Well drained,Medium,Semi-deciduous,2 to 5m,3 to 5m,Orange,Dark green,Unknown,Unknown,Unknown,Yes,Nectar,Unknown,Unknown,Unknown,No,Unknown,Unknown,Yes,images/1355_combretum_coccineum.jpg,Paul Plant,,,,,,,,Active
1356,COMCON,Combretum constrictum,New Guinea Bottlebrush,,Shrub,900 to 1400mm,"Humid Tropical,Dry Tropical,Humid Subtropical",Sun,"Sand,Loam,Clay",Well drained,Medium,Semi-deciduous,2 to 5m,2 to 3m,Orange,Light green,Unknown,Unknown,Unknown,Yes,Nectar,Unknown,Unknown,Unknown,No,Unknown,Unknown,No,,,,,,,,,,Active
